MES_SCORE	ADRN_SCORE	AM_RATIO	CLASS	COLOR	SAMPLE
0.600257476750276	0.816474697297116	1.36020745916805	Adrenergic	Red	PAUUHY
0.711585332347984	0.755620726582752	1.06188350466622	Slight Adrenergic	Gray	PASMET
0.636206210168762	0.78300997709664	1.23074871728922	Adrenergic	Red	PAUAEE
0.621473403974966	0.783075860193672	1.26003116977346	Adrenergic	Red	PATSNC
0.60270900080854	0.808008419859801	1.34062776360706	Adrenergic	Red	PATTPC
0.651719296514308	0.790598062797372	1.21309598630246	Adrenergic	Red	PASDDP
0.654482237356333	0.781243411690297	1.19368161135433	Adrenergic	Red	PATFIK
0.657281287742604	0.773625079658654	1.17700761315696	Adrenergic	Red	PASAHC
0.630045383641479	0.806412102365563	1.2799270073288	Adrenergic	Red	PAVCLX
0.753650147858491	0.707687629070976	0.939013454826331	Slight Mesenchymal	Gray	PAUPMU
0.63265682139569	0.793742333603254	1.25461752210653	Adrenergic	Red	PASFXC
0.788309927545415	0.6621423446237	0.839951802567593	Mesenchymal	Green	PAUMJN
0.605245976645423	0.807491087813783	1.33415358213417	Adrenergic	Red	PAUUTW
0.675850901224697	0.782501329640686	1.15780171073639	Adrenergic	Red	PASAGA
0.638946498439552	0.791737990110348	1.23913033727229	Adrenergic	Red	PAVGYW
0.657655391592308	0.784949785101316	1.19355789542119	Adrenergic	Red	PAVINE
0.631416312766967	0.801915730727397	1.27002694500127	Adrenergic	Red	PAUPWN
0.60545758754602	0.795608472326704	1.31406144491703	Adrenergic	Red	PASVYV
0.681796416183804	0.744743427262665	1.09232523020756	Slight Adrenergic	Gray	PAUJTY
0.660205151553551	0.750698211094234	1.13706809061962	Adrenergic	Red	PATYWG
0.61274756625036	0.760639820702146	1.2413591870414	Adrenergic	Red	PATNVA
0.609066074858898	0.777874090214324	1.27715878838685	Adrenergic	Red	PASLIH
0.683410580096464	0.768588017421887	1.12463581894415	Adrenergic	Red	PATLFF
0.785815789739282	0.676658936383282	0.86109104095221	Mesenchymal	Green	PAVKZC
0.675054809129659	0.835283123625439	1.23735600773271	Adrenergic	Red	PASWXG
0.600955445083775	0.791173491756228	1.31652603904094	Adrenergic	Red	PAUYJS
0.755933459754119	0.706510867117387	0.934620445756155	Slight Mesenchymal	Gray	PATBCM
0.603608150888553	0.795303164065682	1.31758188303942	Adrenergic	Red	PASBDN
0.635193909374015	0.768270880150261	1.2095060560442	Adrenergic	Red	PATBFN
0.747953923324411	0.728021848032851	0.973351198957593	Slight Mesenchymal	Gray	PASXWF
0.794832746646691	0.6522977628496	0.820672985104816	Mesenchymal	Green	PAVIAZ
0.645925060360131	0.795301516988256	1.23125973242909	Adrenergic	Red	PATKGB
0.754651458791945	0.709190063151943	0.93975842077775	Slight Mesenchymal	Gray	PATIRK
0.683692167256718	0.641473469475762	0.938248966709161	Slight Mesenchymal	Gray	PASTRD
0.753518942371635	0.622600807127832	0.826257671994617	Mesenchymal	Green	PASUMK
0.629790261861481	0.777019556498948	1.2337751209463	Adrenergic	Red	PAVAEE
0.653741879557849	0.794646129907093	1.21553499134023	Adrenergic	Red	PAUPKS
0.660872953839218	0.785854479811023	1.18911581302541	Adrenergic	Red	PATPPY
0.64512044551552	0.743054573963958	1.15180750994518	Adrenergic	Red	PAUSJB
0.624020472541607	0.781762241079429	1.25278300228732	Adrenergic	Red	PATVHJ
